hanja,meaning,reading,source
浮,뜰,부,material
簿,문서,부,material
北,북녘,북,material;textbook
分,나눌,분,material;textbook
粉,가루,분,material
紛(纷),어지러울,분,material
奔,달릴,분,material
憤(愤),성낼,분,material
墳(坟),무덤,분,material
奮(奋),떨칠,분,material
不,아닐,불,material;textbook
佛,부처,불,material
拂,떨칠,불,material
朋,벗,붕,material;textbook
崩,무너질,붕,material
比,견줄,비,material;textbook
批,비평할,비,material
非,아닐,비,material;textbook
悲,슬플,비,material
飛(飞),날,비,material
祕(秘),숨길,비,material
肥,살찔,비,material
卑,낮을,비,material
碑,비석,비,material
婢,계집종,비,material
妃,왕비,비,material
鼻,코,비,material;textbook
備(备),갖출,비,material
費(费),쓸,비,material
貧(贫),가난할,빈,material
賓(宾),손님,빈,material
頻(频),자주,빈,material
氷,얼음,빙,material
聘,부를,빙,material
士,선비,사,material
仕,벼슬,사,material
社,모일,사,material;textbook
舍,집,사,material;textbook
捨(舍),버릴,사,material
死,죽을,사,material
四,넉,사,material;textbook
思,생각,사,material;textbook
司,맡을,사,material;textbook
詞(词),말,사,material
辭(辞),말씀,사,material
射,쏠,사,material
謝(谢),사례할,사,material;textbook
詐(诈),속일,사,material
事,일,사,material;textbook
史,사기,사,material
使,시킬,사,material;textbook
似,같을,사,material
蛇,긴뱀,사,material
巳,뱀,사,material
祀,제사,사,material
沙,모래,사,material
邪,간사할,사,material
査(查),조사할,사,material
寺,절,사,material;textbook
絲(丝),실,사,material
私,사사로울,사,material;textbook
賜(赐),줄,사,material
寫(写),베낄,사,material
斯,이,사,material
師(师),스승,사,material;textbook
斜,비낄,사,material
削,깎을,삭,material
朔,초하루,삭,material
山,메,산,material;textbook
産(产),낳을,산,material
算,셈,산,material;textbook
散,흩을,산,material;textbook
殺(杀),죽일,살,material
三,석,삼,material;textbook
上,위,상,material;textbook
尙,높을,상,material
常,항상,상,material;textbook
賞(赏),상줄,상,material
償(偿),갚을,상,material
嘗(尝),맛볼,상,material
裳,치마,상,material
商,장사,상,material;textbook
相,서로,상,material;textbook
想,생각,상,material;textbook
霜,서리,상,material;textbook
象,모양,상,material
像,형상,상,material
狀(状),형상,상,material
牀(床),상,상,material
桑,뽕나무,상,material
詳(详),자세할,상,material
祥,상서로울,상,material
傷(伤),다칠,상,material
喪(丧),잃을,상,material
塞,변방,새,material
色,빛,색,material;textbook
索,찾을,색,material
生,날,생,material;textbook
西,서녘,서,material;textbook
序,차례,서,material
書(书),글,서,material;textbook
敍,펼,서,material
徐,천천히,서,material
緖,실마리,서,material
暑,더울,서,material;textbook
署,관청,서,material
恕,용서할,서,material
庶,여러,서,material
逝,갈,서,material
誓,맹세할,서,material
夕,저녁,석,material;textbook
石,돌,석,material;textbook
昔,옛,석,material
惜,아낄,석,material
席,자리,석,material;textbook
析,쪼갤,석,material
釋(释),풀,석,material;textbook
仙,신선,선,material;textbook
先,먼저,선,material;textbook
善,착할,선,material;textbook
宣,베풀,선,material
船,배,선,material;textbook
線(线),줄,선,material
鮮(鲜),고울,선,material
旋,돌,선,material
禪(禅),선,선,material
選(选),가릴,선,material;textbook
舌,혀,설,material
雪,눈,설,material;textbook
說(说),말씀,설,material;textbook
設(设),베풀,설,material
涉,건널,섭,material
攝(摄),이끌,섭,material
成,이룰,성,material;textbook
城,성,성,material
盛,성할,성,material
誠(诚),정성,성,material
姓,성씨,성,material;textbook
性,성품,성,material;textbook
星,별,성,material
省,덜,생,material;textbook
聖(圣),성인,성,material;textbook
聲(声),소리,성,material
世,인간,세,material;textbook
洗,씻을,세,material;textbook
細(细),가늘,세,material;textbook
稅(税),세금,세,material
勢(势),형세,세,material
歲(岁),해,세,material;textbook
小,작을,소,material;textbook
少,적을,소,material
消,사라질,소,material
召,부를,소,material
昭,밝을,소,material
所,바,소,material;textbook
訴(诉),하소연할,소,material
笑,웃음,소,material;textbook
素,흴,소,material;textbook
掃(扫),쓸,소,material
燒(烧),사를,소,material
疏,트일,소,material
蔬,나물,소,material
蘇(苏),깨어날,소,material
騷(骚),떠들,소,material
束,묶을,속,material;textbook
速,빠를,속,material;textbook
續(续),이을,속,material
俗,풍속,속,material;textbook
粟,조,속,material
屬(属),속할,속,material;textbook
孫(孙),손자,손,material
損(损),덜,손,material
松,소나무,송,material
訟(讼),송사할,송,material
頌(颂),기릴,송,material
誦(诵),욀,송,material
送,보낼,송,material
刷,인쇄할,쇄,material
鎖(锁),쇠사슬,쇄,material
衰,쇠할,쇠,material
水,물,수,material;textbook
囚,가둘,수,material
手,손,수,material;textbook
搜,찾을,수,material
受,받을,수,material;textbook
授,줄,수,material;textbook
收,거둘,수,material
數(数),셈,수,material;textbook
修,닦을,수,material;textbook
守,지킬,수,material;textbook
首,머리,수,material;textbook
須(须),모름지기,수,material
垂,드리울,수,material
睡,잠잘,수,material
誰(谁),누구,수,material;textbook
雖(虽),비록,수,material;textbook
壽(寿),목숨,수,material
帥(帅),장수,수,material
殊,다를,수,material
秀,빼어날,수,material;textbook
愁,근심,수,material
樹(树),나무,수,material;textbook
獸(兽),짐승,수,material
輸(输),보낼,수,material
需,쓰일,수,material
遂,이룰,수,material;textbook
隨(随),따를,수,material
叔,아재비,숙,material
淑,맑을,숙,material
宿,잠잘,숙,material
孰,누구,숙,material
熟,익을,숙,material
肅(肃),엄숙할,숙,material
旬,열흘,순,material;textbook
殉,따라죽을,순,material
循,돌,순,material
巡,돌,순,material
順(顺),순할,순,material;textbook
純(纯),순수할,순,material
瞬,눈깜짝일,순,material
脣(唇),입술,순,material
戌,개,술,material
術(术),재주,술,material
述,펼,술,material
崇,높을,숭,material
習(习),익힐,습,material;textbook
拾,주울,습,material
濕(湿),젖을,습,material;textbook
襲(袭),엄습할,습,material
昇(升),오를,승,material
承,이길,승,material
乘,탈,승,material
勝(胜),이길,승,material;textbook
僧,중,승,material
示,보일,시,material;textbook
視(视),볼,시,material
市,저자,시,material;textbook
是,이,시,material;textbook
時(时),때,시,material;textbook
侍,모실,시,material;textbook
詩(诗),시지을,시,material
試(试),시험,시,material
矢,화살,시,material
施,베풀,시,material;textbook
始,처음,시,material;textbook
食,먹을,식,material;textbook
飾(饰),꾸밀,식,material
式,법,식,material
植,심을,식,material;textbook
識(识),알,식,material;textbook
息,쉴,식,material
身,몸,신,material;textbook
臣,신하,신,material
申,펼,신,material;textbook
伸,펼,신,material
神,귀신,신,material;textbook
辛,매울,신,material;textbook
新,새,신,material;textbook
愼,삼갈,신,material
晨,새벽,신,material
信,믿을,신,material;textbook
失,잃을,실,material;textbook
室,집,실,material;textbook
實(实),열매,실,material
心,마음,심,material;textbook
深,깊을,심,material
審(审),찾을,심,material
甚,심할,심,material
尋(寻),찾을,심,material
十,열,십,material;textbook
雙(双),두,쌍,material
氏,성씨,씨,material
兒(儿),아이,아,material
我,나,아,material;textbook
餓(饿),굶주릴,아,material
牙,어금니,아,material
芽,싹,아,material
雅,맑을,아,material
亞(亚),버금,아,material
惡(恶),나쁠,악,material
嶽(岳),큰산,악,material
雁,기러기,안,material
岸,언덕,안,material
安,편안,안,material;textbook
案,책상,안,material
顔(颜),얼굴,안,material
謁(谒),알현할,알,material
眼,눈,안,material;textbook
暗,어두울,암,material
巖(岩),바위,암,material
押,누를,압,material;textbook
壓(压),누를,압,material
央,가운데,앙,material
殃,재앙,앙,material
仰,우러를,앙,material
愛(爱),사랑,애,material;textbook
哀,슬플,애,material
涯,물가,애,material
厄,액,액,material
額(额),이마,액,material
也,어조사,야,material;textbook
耶,어조사,야,material
夜,밤,야,material;textbook
野,들,야,material
弱,약할,약,material;textbook
約(约),맺을,약,material;textbook
若,만약,약,material;textbook
藥(药),약,약,material;textbook
躍(跃),뛸,약,material
羊,양,양,material;textbook
洋,큰바다,양,material;textbook
養(养),기를,양,material;textbook
樣(样),모양,양,material
陽(阳),볕,양,material;textbook
揚(扬),날릴,양,material
楊(杨),버들,양,material
壤,흙덩이,양,material
讓(让),사양할,양,material;textbook
魚(鱼),물고기,어,material
漁(渔),고기잡을,어,material;textbook
語(语),말씀,어,material;textbook
於(于),어조사,어,material;textbook
御,거느릴,어,material
抑,누를,억,material
億(亿),억,억,material
憶(忆),생각,억,material;textbook
言,말씀,언,material;textbook
焉,어조사,언,material
嚴(严),엄할,엄,material
業(业),업,업,material;textbook
餘(余),나,여,material
如,같을,여,material;textbook
汝,너,여,material
予,나,여,material
與(与),줄,여,material;textbook
輿(舆),수레,여,material
亦,또,역,material;textbook
易,바꿀,역,material;textbook
逆,거스를,역,material;textbook
役,부릴,역,material
疫,전염병,역,material
域,지경,역,material
譯(译),번역할,역,material
驛(驿),역,역,material
然,그럴,연,material
燃,탈,연,material
